Unnamed: 0,Title,Company,Location,Skills
20,Data Analytics,Zdminds,Work from home,"python, sqldata analytics, ms-excel, data science, power bitableau"
21,AI Agent Development,On Demand Experts,Work from home,"python, llmops, llm evaluation"
22,Data Science,CareerNest,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
23,Python Development,Treviax.in,Work from home,"htmlcsspython, django, machine learning, rest apiflask"
24,Machine Learning,Treviax.in,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
25,Data Science,Zdminds,Work from home,"python, sqldata analytics, machine learning, data science, natural language processing (nlp)"
26,Artificial Intelligence (AI),Zdminds,Work from home,"python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
27,Python Development,Mindenious Edutech,Work from home,"htmlcsspython, machine learning"
28,Artificial Intelligence (AI),Stirring Minds,"Delhi, Gurgaon, Noida(Hybrid)","python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
29,AI Engineer,Clientcarex AI Private Limited,Hyderabad,"problem solving, research and analytics, report generation, self-learning, generative ai tools, chat, gpt"
30,AI For Climate Tech,Energy Alternatives India,Chennai,"biology, machine learning, bioinformatics, microbiological techniques, neural networks, business research, artificial intelligence"
31,Instructional Designer,Kalvium,Bangalore,"data structures, machine learning, data science, computer architecture, operating systems, cybersecurity, generative ai tools"
32,Artificial Intelligence (AI),Zoxima Solutions Private Limited,Work from home,"artificial intelligence, lang, chain"
33,Machine Learning,Vaibhav Wakade,"Pune, Ahmednagar, Nashik (Hybrid)","java, script, python, data analytics, automation, natural language processing (nlp)deep learning, blockchain"
34,Artificial Intelligence (AI),Across The Globe (ATG),Work from home,"python, data structures, machine learning, computer vision, data science, neural networks, natural language processing (nlp)"
35,AI Engineer,Entrepreneur Growth Lab (OPC) Private Limited,Work from home,"java, java, script, python, algorithms, machine learning, automation, rest api"
36,AI/ML Python,Tellis Technologies Private Limited,Work from home,"java, script, python, machine learning, artificial intelligence, mern"
37,Artificial Intelligence (AI),Stirring Minds,Work from home,"python, sqldata structures, machine learning, data science, neural networks, rtos"
38,Software Engineering- AI Agent Integration Team,EmergentLabs,Bangalore,"python, problem solving, artificial intelligence, apis, debugging, prompt engineering"
39,Python Development,Scoreazy Edutech Private Limited,Work from home,"python, rest apifast, apiopen, ai apistreamlit, prompt engineering"
40,Quant Developer,QuantGlobal,"Delhi, Noida","python, finance, mongo, dbmachine learning, financial modeling, statistics, c++ programming"
41,AI Engineer,Sameer Khatri,Bangalore(Hybrid),"python, machine learning, amazon web services (aws)natural language processing (nlp)artificial intelligence, generative ai tools, llmops"
42,Video Annotator,Indika AI Private Limited,Work from home,"attention to detail, time management, data analytics, technical analysis, artificial intelligence, machine learning operations (mlops)self-learning"
43,Mechanical Engineering,Pneumatic Equipments Corporation,Kolkata,machine learning
44,Python Development,TwiLearn EduTech Private Limited,Work from home,"htmlcsspython, django, machine learning, rest api"
45,AI Agent Development,NAVNEET TOPTECH,Mumbai,"java, script, python, apis, lang, chain, prompt engineering, chat, gptllmops"
46,Artificial Intelligence (AI),DeepThought CultureTech Ventures Private Limited,Work from home,artificial intelligence
47,AI System Development & Automation,Fast Action Claims,Work from home,"java, python, open, ai apigenerative ai tools, chat, gpt"
48,Machine Learning,NoirCapial,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
49,Artificial Intelligence (AI),NoirCapial,Work from home,"python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
50,Data Analytics,TwiLearn EduTech Private Limited,Work from home,"python, sqldata analytics, ms-excel, data science, power bitableau"
51,Video Annotator,Indika AI Private Limited,Work from home,"attention to detail, time management, data analytics, technical analysis, artificial intelligence, machine learning operations (mlops)self-learning"
52,Mechanical Engineering,Pneumatic Equipments Corporation,Kolkata,machine learning
53,Python Development,TwiLearn EduTech Private Limited,Work from home,"htmlcsspython, django, machine learning, rest api"
54,Artificial Intelligence (AI),OmniNeura AI Technologies Pvt Ltd,Work from home,"python, machine learning, natural language processing (nlp)deep learning"
55,AI Agent Development,NAVNEET TOPTECH,Mumbai,"java, script, python, apis, lang, chain, prompt engineering, chat, gptllmops"
56,Artificial Intelligence (AI),DeepThought CultureTech Ventures Private Limited,Work from home,artificial intelligence
57,AI System Development & Automation,Fast Action Claims,Work from home,"java, python, open, ai apigenerative ai tools, chat, gpt"
58,Machine Learning,NoirCapial,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
59,Artificial Intelligence (AI),NoirCapial,Work from home,"python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
60,Data Analytics,TwiLearn EduTech Private Limited,Work from home,"python, sqldata analytics, ms-excel, data science, power bitableau"
62,Agentic AI,International Institute Of SDGs & Public Policy Research,Work from home,"statistical modeling, machine learning, neural networks, english proficiency (spoken)predictive analytics, artificial intelligence, python libraries"
63,AI/ML AI Agent Development,Tellis Technologies Private Limited,Work from home,"java, script, python, machine learning, data science, react, artificial intelligence, data analysis"
64,Machine Learning,TSTEPS PRIVATE LIMITED,"Chennai, Mumbai, Bangalore, Kerala, Puduchery(Hybrid)","python, data analytics, r programming, data science, deep learning, artificial intelligence"
65,Python Development,TSTEPS PRIVATE LIMITED,"Chennai, Mumbai, Hyderabad, Kerala, Puduchery(Hybrid)","htmlcsspython, django, machine learning"
66,Artificial Intelligence (AI),Sai Kalyan,Work from home,htmlpython
67,Machine Learning Engineer - Forecasting And Buy Algorithms,Mohan Gopalakrishna,Work from home,"python, machine learning, data science"
68,Business Research,Adrasti,Work from home,"finance, software testing, accounting, market analysis, machine learning, cybersecurity, artificial intelligence"
69,Artificial Intelligence (AI),SystemaOps,Work from home,artificial intelligence
70,Intelligent Transportation Systems (ITS) Researcher,The Asian Institute Of Transport Development,Delhi,"python, time management, machine learning, problem solving, literature review, artificial intelligence, effective communication"
71,Python Development,Everything About AI,Work from home,"csspython, mongo, dbmachine learning, postgre, sqlrest apideep learning"
72,Neuro Technology,TSTEPS PRIVATE LIMITED,"Chennai, Madurai, Bangalore, Kerala, Andra, Puduchery(Hybrid)","machine learning, embedded systems, signal processing"
73,AI Agent Development,Aditya Jha,Work from home,"java, script, python, node.js, jsonrest apiapis, open, ai api"
74,FPGA Developer,Vicharak Computers LLP,Surat,"vlsiverilog, vhdlfpga synthesis and prototyping, debugging"
75,AI Agent Development,Zoxima Solutions Private Limited,Work from home,"java, script, python, generative ai tools"
76,Machine Learning,Tilak Karveran,Work from home,"python, sqldata analytics, machine learning, no, sqlscikit-learn, seaborn"
77,Artificial Intelligence (AI),Nobrokerage.com,Pune,"java, python, data structures, artificial intelligence, julia, open, ai apikeras"
78,Quant Researcher,QuantGlobal,"Delhi, Ghaziabad, Greater Noida, Noida","python, statistical modeling, machine learning, financial modeling, tableau, stock trading, data analysis"
79,Quant Developer,QuantGlobal,"Delhi, Noida","python, mongo, dbmachine learning, c++ programming, stock trading, apis, probability"
80,Node.js Generative AI/ML Developer,Arakoo,Work from home,"node.js, express.js, type, script, terraform"
81,Quant Developer,AlgoBulls,Work from home,"python, git, git, hub, data science, bash, quantitative research"
82,AI Agent Development,EshiaBIM,Ahmedabad,"jsonfrontend development, microsoft azure, rest apiamazon web services (aws)ci/cdfast, api"
83,AI Agent Development,Yardstick,Work from home,"python, machine learning"
84,Data And AI Architect,Sorvanis,Work from home,"python, data analytics, lang, chain"
85,AI Agent Development,Awwgment,Work from home,"python, rest apitransformers, fast, apiapis, open, ai apilang, chain"
86,LLM,Indika AI Private Limited,Delhi,"my, sqlpython, machine learning"
87,Artificial Intelligence (AI),Almost Magic Private Limited,"Chandigarh, Mohali, Panchkula","python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
88,Artificial Intelligence (AI),Pulse Labs,Work from home,"ms-office, software testing, artificial intelligence"
89,Data Labelling,Radic Advertising Private Limited,Hyderabad(Hybrid),"python, ms-excel, json"
90,Artificial Intelligence (AI),URE Legal Advocates,Noida,"python, machine learning, natural language processing (nlp)deep learning"
91,AI Specialist,QuantGlobal,Noida,"python, artificial intelligence, apis, generative ai development, artificial intelligence markup language (aiml)lang, chain, llmops"
92,Full Stack AI Engineer,DigiPlus IT,"Mumbai, Maharashtra","mongo, dbnode.js, ui & ux design, docker, git, hub, type, script, dev, ops"
93,Artificial Intelligence (AI),Evolvra,Work from home,"python, machine learning, data science, neural networks, natural language processing (nlp)deep learning, artificial intelligence"
94,Software Engineer,Giddly.com,Work from home,"python, machine learning, react native, golang, type, script, artificial intelligence"
95,Artificial Intelligence (AI),Kazunov 1AI,Work from home,"python, tensor, flow, py, torch"
96,Python Development,EvoNexis,Work from home,"htmlcsspython, django, machine learning, rest apiflask"
97,Machine Learning,EvoNexis,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
98,Data Science AI&ML Python Research,Megaminds IT Services,Work from home,"java, python, django, machine learning, computer vision, flask, deep learning"
99,Machine Learning,Pexaworks Technologies Private Limited,Work from home,"python, machine learning, tensor, flow, py, torch"
100,Artificial Intelligence (AI),Hubnine India Private Limited,Work from home,"csscontent writing, python, data structures, machine learning, data science, react"
101,Artificial Intelligence (AI),Kunal Kapur,"Delhi, Gurgaon",python
103,Inside Sales,CloudBC Labs Private Limited,Bangalore(Hybrid),"cold calling, computer skills, lead generation, business development"
104,Generative AI Machine Learning,Arakoo,"Delhi, Noida",python
105,AI Agent Development (Only Night Shift),Big Internet E-commerce Private Limited,Work from home,"java, script, amazon web services (aws)apis, lang, chain, nest, jsllmops"
106,Mobile App Development,VigiSafeMed,Work from home,"python, machine learning, node.js, flutter, react nativei, osandroid"
107,AI/ML Dev,Trinity Packaging Co. Pvt. Ltd.,Mumbai(Hybrid),"python, docker, artificial intelligence, apis, llmops"
108,Data Science,Accredian,Work from home,"python, video editing, sqlmachine learning, video making, r programming, deep learning"
109,AI and ML Mentor,Mikado Solutions,Work from home,"machine learning, computer vision, neural networks, natural language processing (nlp)artificial intelligence, generative ai development, llmops"
110,Artificial Intelligence (AI),Ethical Den,Kolkata,"python, machine learning, deep learning, artificial intelligence"
111,Artificial Intelligence (AI),Ekam Apps,Work from home,"python, sqlnode.js, natural language processing (nlp)artificial intelligence"
112,Artificial Intelligence (AI),Universal Adventures,Work from home,artificial intelligence markup language (aiml)
113,Computer Vision,Practice Buzz,Chandigarh,"open, cv"
114,AI Engineer,Splashgain Technology Solutions Private Limited,Pune(Hybrid),"git, hub, rest apiapis, angular, prompt engineering, claude, gemini"
115,Machine Learning,Infits,Work from home,"python, data analytics, machine learning, problem solving, computer vision, amazon web services (aws)natural language processing (nlp)"
116,AI Agent Development,TSTEPS PRIVATE LIMITED,"Chennai, Delhi, Hyderabad, Mumbai, Bangalore, Kerala Estate(Hybrid)","artificial intelligence, apis, py, torch, llm evaluation"
117,Artificial Intelligence (AI),Elementals.ai,Bangalore,"computer vision, transformers, reinforcement learning, self-learning"
118,Artificial Intelligence (AI),Global Groupware Solutions Limited,Work from home,"python, machine learning, artificial intelligence"
119,Big Data,TSTEPS PRIVATE LIMITED,"Chennai, Coimbatore, Delhi, Hyderabad, Mumbai, Salem, Bangalore, Kerala Estate(Hybrid)","java, python, sqlmachine learning, hadoop, apache spark"
120,Artificial Intelligence (AI),Cosy Toys,Noida,"python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
121,AI video creation,EMIAC Technologies,Jaipur,"adobe photoshop, adobe illustrator, final cut pro, canva, capcut"
122,Technical Support,Tech Analogy,Ahmedabad,"matlabopen, cvsolid, works, client interaction, machine learning, technical support, client relationship"
123,Database & Storage Internals Research,Black Potato Systems,Work from home,"database management system (dbms)distributed computing, kubernetes"
124,Market Research,Klearprop,Mumbai,"ms-word, ms-excel, english proficiency (spoken)english proficiency (written)research and analytics"
125,Digital Marketing,EMIAC Technologies,Gopalpura,"digital marketing, linked, in marketing, digital marketing tools"
126,Agentic RAG Tools And Applications Development,FrugalX (Frugal Explorations Foundation),Work from home,"java, script, type, script"
127,Artificial Intelligence For Biotech For Climate (A4B4C),Energy Alternatives India,Chennai,"biology, machine learning, bioinformatics, microbiological techniques, neural networks, business research, artificial intelligence"
128,E-commerce Associate,Codeous Technologies Private Limited,Work from home,"ms-excel, effective communication"
129,Data Engineering & Analytics,Hornbill Labs Private Limited,Thiruvananthapuram,"java, script, python, sqldata analytics, node.js, web development, data visualization"
130,"Producers Assistant Residency Program: Founders Office - Research, Development And Operations (Hollywood Film)",Continuum Media,Mumbai,"ms-office, content writing, python, adobe illustrator, sqladobe creative suite, machine learning"
132,Digital Transformation,Kores (India) Limited,Mumbai,"data interpretation, power bifigma, data analysis, data cleaning"
133,AI Applications,Paracoat Products Limited,Gurgaon,"ms-office, project management, ms-power, point, presentation skills, data analytics, ms-excel, problem solving"
134,Field Force Transformation In Consumer Product Division,Parag Milk Foods Limited,Mumbai,"ms-excel, interpersonal skills, effective communication"
135,Data Science,"Mekari (Jakarta, Indonesia)",Work from home,"python, sqldata analytics, machine learning, data entry, data science, natural language processing (nlp)"
136,Content Development (English),Gyaan Plus Media,Bangalore,"video editing, artificial intelligence, google sheets, generative ai tools, capcut, ai video generation, ai image generation"
137,Financial Research ( Only For Students Planning To Study Abroad After Graduation ),HumbleWalking,Mumbai(Hybrid),"interpersonal skills, effective communication"
138,AI Tutor,Aadi Foundation,Work from home,"python, video editing, video making, artificial intelligence, generative ai tools, ai video generation, ai image generation"
139,Tech Operations & Website (Only For Students Planning To Study Abroad),HumbleWalking,Mumbai(Hybrid),effective communication
140,Solution Engineer,Zext Digital LLP,Work from home,"java, script, python, apis, lang, chain, generative ai tools, llm evaluation"
141,Database Building/Management,Pune Logitech Services Pvt. Ltd.,Pune,"ms-office, ms-word, ms-excel"
142,Python Development,Jorim Technology Solutions Private Limited,Chennai(Hybrid),"python, django, machine learning, rest apiflask"
143,Full Stack Development,NDL Power Limited,Work from home,"python, asp.netmachine learning, node.js, ms sql server, automation, react"
144,Founders Office,MARKETMAZE,Work from home,"python, digital marketing, interpersonal skills, effective communication"
145,Business Strategy & Performance (CEO’s Office),Neuherbs,Noida,"presentation skills, time management, analytical thinking, ms-excel"
146,Market Research,Ruban Bridge Private Limited (1Bridge),Bangalore,"ms-power, point, ms-excel, research and analytics"
147,Machine Learning,Zdminds,Work from home,"python, data analytics, machine learning, r programming, data science, natural language processing (nlp)deep learning"
148,Machine Learning,CareerNest,Work from home,"python, machine learning, data science"
149,Growth Marketing,Bloomeasy AI,Work from home,"digital marketing, marketing strategies marketing campaigns data analysis"
150,Research Analyst,JP IT STAFFING LLC,Work from home,research and analytics
151,Data Analytics,Zdminds,Work from home,"python, sqldata analytics, ms-excel, data science, power bitableau"
152,AI Agent Development,On Demand Experts,Work from home,"python, llmops, llm evaluation"
153,Financial Analyst,Zean Lithos And Company Private Limited,Work from home,"ms-word, ms-excel"
154,Data Science,CareerNest,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
155,Business Analytics,Treviax.in,Work from home,"ms-office, python, sqldata analytics, ms-excel, english proficiency (spoken)english proficiency (written)"
156,Data Analytics,Treviax.in,Work from home,"python, sqldata analytics, ms-excel, data science, power bitableau"
157,Machine Learning,Treviax.in,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
158,Data Analytics,Hunt Digital Media,Work from home,"python, sqldata analytics, ms-excel, data science, power bitableau"
159,Data Science,Zdminds,Work from home,"python, sqldata analytics, machine learning, data science, natural language processing (nlp)"
160,Artificial Intelligence (AI),Zdminds,Work from home,"python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
161,AI Video Creator & Editor,Aadi Foundation,Work from home,"video editing, video making, artificial intelligence, video marketing"
162,Data Science,Mindenious Edutech,Work from home,"python, sqldata analytics, machine learning, data science, deep learning"
163,Data (SQL & Visualization),Wadhwani Foundation,"Chennai, Delhi, Mumbai, Bangalore                   (Hybrid)","sqlmongo, dbpostgre, sqlms-excel, data visualization, power bitableau"
164,Prompt Engineering,Ozibook Tech Solutions Private Limited,Work from home,"chat, gpt"
165,Artificial Intelligence (AI),Stirring Minds,"Delhi, Gurgaon, Noida(Hybrid)","python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
166,Data Analytics,Ozibook Tech Solutions Private Limited,Work from home,"ms-excel, lead generation"
167,Research Analyst,Ozibook Tech Solutions Private Limited,Work from home,research and analytics
168,Business Analyst Assistant,Ozibook Tech Solutions Private Limited,Work from home,"ms-office, google docs"
169,Business Analytics,Ozibook Tech Solutions Private Limited,Work from home,"ms-office, ms-excel"
170,Data Science,Emoolar Technology Private Limited,Work from home,"python, machine learning, data science, artificial intelligence"
171,Market Entry Strategy,Aura Workwear,Work from home,"market analysis, strategy, market research, data analysis"
172,Data Science,Mindenious Edutech,Work from home,"python, sqldata analytics, machine learning, data science, deep learning"
173,Data (SQL & Visualization),Wadhwani Foundation,"Chennai, Delhi, Mumbai, Bangalore(Hybrid)","sqlmongo, dbpostgre, sqlms-excel, data visualization, power bitableau"
174,Prompt Engineering,Ozibook Tech Solutions Private Limited,Work from home,"chat, gpt"
175,Artificial Intelligence (AI),Stirring Minds,"Delhi, Gurgaon, Noida(Hybrid)","python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
176,Data Analytics,Ozibook Tech Solutions Private Limited,Work from home,"ms-excel, lead generation"
177,Research Analyst,Ozibook Tech Solutions Private Limited,Work from home,research and analytics
178,Business Analyst Assistant,Ozibook Tech Solutions Private Limited,Work from home,"ms-office, google docs"
179,Business Analytics,Ozibook Tech Solutions Private Limited,Work from home,"ms-office, ms-excel"
180,Data Science,Emoolar Technology Private Limited,Work from home,"python, machine learning, data science, artificial intelligence"
181,Market Entry Strategy,Aura Workwear,Work from home,"market analysis, strategy, market research, data analysis"
183,Research Analyst,QuadB Tech,Work from home,"blockchain, research and analyticsweb3.js, hub, spot, trello, asana"
184,Digital Marketing,Technix Digital Marketing,Work from home,"social media marketing, search engine marketing (sem)digital marketing, search engine optimization (seo)email marketing, instagram marketing"
185,AI Engineer,Clientcarex AI Private Limited,Hyderabad,"problem solving, research and analytics, report generation, self-learning, generative ai tools, chat, gpt"
186,Data Collection Agent,Instawork,Bangalore,effective communication
187,AI For Climate Tech,Energy Alternatives India,Chennai,"biology, machine learning, bioinformatics, microbiological techniques, neural networks, business research, artificial intelligence"
188,Instructional Designer,Kalvium,Bangalore,"data structures, machine learning, data science, computer architecture, operating systems, cybersecurity, generative ai tools"
189,Prompt Engineering,Nestup Space,Hyderabad,"java, script, python, frontend development"
190,Market Research (Only For Students Planning To Study Abroad After Graduation),HumbleWalking,Mumbai(Hybrid),"interpersonal skills, effective communication"
191,Full Stack Development,Aurus.ai,Work from home,"csspython, django, postgre, sqlreact, figma, next.js"
192,Technical Support,Fantastech Solutions Private Limited,Work from home,"rest apienglish proficiency (spoken)english proficiency (written)interpersonal skills, effective communication, apis, onboarding"
193,E-Commerce Business Management,Vipul Sharma,Work from home,"social media marketing, market analysis, ms-excel, marketing, effective communication, product marketing, ai video generation"
194,Digital Marketing,Shree Krishna Enterprise,Work from home,"social media marketing, search engine marketing (sem)digital marketing, search engine optimization (seo)facebook marketing, instagram marketing, you, tube ads"
195,Artificial Intelligence (AI),Zoxima Solutions Private Limited,Work from home,"artificial intelligence, lang, chain"
196,Sales,Bridge2job,Work from home,"cold calling, client relationship management (crm)sales management, sales support, english proficiency (spoken)english proficiency (written)sales"
197,Selenium Web Scraper Developer,Medius Technologies Private Limited,Work from home,"selenium, django, postgre, sqlamazon web services (aws)flask"
198,Selenium Automation Developer,Medius Technologies Private Limited,Work from home,"selenium, django, postgre, sqlamazon web services (aws)flask"
199,Search Engine Optimization (SEO),Shiksha Nation™,Noida,"google analytics, google ad, words, search engine optimization (seo)google search console"
200,Trading,DEEPANSH KALRA,Delhi,"python, algorithms, visual basic (vb)ms-excel"
201,Marketing Solutions Consultant,Ramyoz,Noida,"digital marketing, interpersonal skills, sales, effective communication"
202,Research And Marketing,Insytelli Services LLP,Bangalore(Hybrid),"market analysis, research and analytics, product marketing"
203,Market & Strategy Analyst (Isotopes),ESSI Integrated Technologies,Work from home,"chemistry, market research, biostatistics, prompt engineering, pharmacology"
204,Machine Learning,Vaibhav Wakade,"Pune, Ahmednagar, Nashik(Hybrid)","java, script, python, data analytics, automation, natural language processing (nlp)deep learning, blockchain"
205,Talent Acquisition,C3A Labs,Work from home,"social media marketing, english proficiency (spoken)english proficiency (written)artificial intelligence"
206,Data Analytics,Emoolar Technology Private Limited,Work from home,"python, sqldata analytics, ms-excel, power bitableau"
207,Artificial Intelligence (AI),Across The Globe (ATG),Work from home,"python, data structures, machine learning, computer vision, data science, neural networks, natural language processing (nlp)"
208,Creative Associate Bengali,Pratilipi,Work from home,"content writing, creative writing, bengali proficiency (spoken)proofreading, bengali proficiency (written)creative direction, content editing"
209,Pre-Sales,LocoBuzz,Mumbai,"analytical thinking, sales support, interpersonal skills, effective communication, stakeholder management, collaboration"
210,Saas Data Engineer/Data Pipeline Developer,"Estate Atlas (Los Angeles, United States)",Work from home,"my, sqlpython, sqlnext.js, data extraction, data engineering, etl processes"
211,Marketing Research,Bodhitree Multimedia Ltd,Mumbai,"ms-word, presentation skills, ms-excel, canva, interpersonal skills, effective communication"
212,Product Analyst,CloudBird Digital Private Limited,Noida,"business analysis, business research, research and analytics, product strategy"
213,AI Engineer,Entrepreneur Growth Lab (OPC) Private Limited,Work from home,"java, java, script, python, algorithms, machine learning, automation, rest api"
214,Performance Marketing,Brandshark,Bangalore,"google analytics, digital marketing, facebook ads, performance marketing"
215,Stock Market Backtesting Executive,LJ Webtech,Work from home,"analytical thinking, stock trading, data analysis"
216,AI Data Entry,Codematics Solution LLP,Work from home,"ms-office, digital marketing, time management, ms-excel, english proficiency (spoken)google suite (g suite)"
217,Data Analytics,DeepThought CultureTech Ventures Private Limited,Work from home,data analytics
218,Data Science,DeepThought CultureTech Ventures Private Limited,Work from home,"python, google sheets"
219,Data Science,Tradexa Technologies Private Limited,Pune,"python, sqlalgorithms, data structures, data analytics, statistical modeling, git"
220,Content and Social Media Marketing,Right To Digital,"Delhi, Noida(Hybrid)","creative writing, english proficiency (spoken)english proficiency (written)"
221,Marketing Associate,Ayurveda House Private Limited,Delhi,"email marketing, analytical thinking, client relationship management (crm)coordination, effective communication, data analysis, performance management"
222,AI + Graphic Designer,DigiChefs,Mumbai(Hybrid),"artificial intelligence, graphic design"
224,Data Science,Zoop Live,Delhi,"python, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence, num, py"
225,Social Media Marketing,FinX Institute Limited,Mumbai,"social media marketing, digital marketing, creative writing, instagram marketing"
226,Data Analytics,Stirring Minds,Delhi,"python, sqltime management, data analytics, ms-excel, client relationship management (crm)power bi"
227,AI Content Assistant,Grivaa Consultancy Services,Work from home,"generative ai tools, chat, gptelevenlabs (gen, ai)hey, gen (gen, ai)"
228,Founders Office,Ayurveda House Private Limited,Delhi,"social media marketing, data analytics, ms-excel, product development, effective communication, product strategy"
229,Graphic Design,MullenLowe Lintas Group,Mumbai,"adobe photoshop, ui & ux design"
230,AI/ML Python,Tellis Technologies Private Limited,Work from home,"java, script, python, machine learning, artificial intelligence, mern"
231,AI Graphics Designer,Codematics Solution LLP,Work from home,"corel, drawproject management, adobe creative suite, software testing, creative writing, ui & ux design, sketch"
232,Artificial Intelligence (AI),Stirring Minds,Work from home,"python, sqldata structures, machine learning, data science, neural networks, rtos"
233,CGOps,Taskify,Bangalore,"time management, strategy, planning, operations, ms-excel, interpersonal skills, effective communication"
234,Search Engine Optimization (SEO),Delhi Chai Cafe,Delhi,"social media marketing, google analytics, search engine marketing (sem)digital marketing, google ad, words, english proficiency (written)"
235,Software Engineering- AI Agent Integration Team,EmergentLabs,Bangalore,"python, problem solving, artificial intelligence, apis, debugging, prompt engineering"
236,Performance Marketing,Baweja Media,Work from home,"google analytics, google ad, words, english proficiency (spoken)facebook ads, performance marketing"
237,Python Development,Scoreazy Edutech Private Limited,Work from home,"python, rest apifast, apiopen, ai apistreamlit, prompt engineering"
238,Finance Research Analyst,Edify Equity,Work from home,research and analytics
239,Sales – AI Product,Trustscape Technologies Private Limited,Work from home,"social media marketing, presentation skills, networking, cold calling, analytical thinking, client relationship management (crm)lead generation"
240,Business Development (Sales),The Hiring Stories,Work from home,"digital marketing, email marketing, ms-excel, english proficiency (spoken)english proficiency (written)"
241,AI & Data Science,Inorbvict Healthcare India Private Limited,Pune,"data science, artificial intelligence"
242,Data Research & AI Assistant (Quipo – Digital Magazine Launch),"Quipo (Sydney, Australia)",Work from home,"research and analytics, google sheets, chat, gptperplexity"
243,Data Analytics,APEX ENGINEERING,Work from home,"java, python, sqldata analytics, ms-excel, data science, data interpretation"
244,SEO Analyst,Shiplee,Work from home,search engine marketing (sem)search engine optimization (seo)analytical thinking
245,"Shopify Store Designer, Automation Specialist And Landing Page Developer",Sriven Commerce,Work from home,"social media marketing, branding, word, press, video editing, search engine optimization (seo)design thinking, shopify"
246,Growth Marketer,Anchors.in,Noida,"email marketing, automation, lead generation, interpersonal skills, marketing, effective communication"
247,Quant Developer,QuantGlobal,"Delhi, Noida","python, finance, mongo, dbmachine learning, financial modeling, statistics, c++ programming"
248,Search Engine Optimization (SEO),TVM Info Solutions Private Limited,Mumbai(Hybrid),"social media marketing, google analytics, search engine marketing (sem)digital marketing, google ad, words, search engine optimization (seo)"
